NodeId,ToNodeId
0001001,9304045
0001001,9308122
0001001,9309097
0001001,9311042
0001001,9401139
0001001,9404151
0001001,9407087
0001001,9408099
0001001,9501030
0001001,9503124
0001001,9504090
0001001,9504145
0001001,9505025
0001001,9505054
0001001,9505105
0001001,9505162
0001001,9506048
0001001,9506112
0001001,9506144
0001001,9507050
0001001,9507158
0001001,9508094
0001001,9508155
0001001,9510142
0001001,9510225
0001001,9510234
0001001,9511030
0001001,9511171
0001001,9601108
0001001,9602022
0001001,9602114
0001001,9603003
0001001,9603150
0001001,9603161
0001001,9603167
0001001,9605184
0001001,9605222
0001001,9606017
0001001,9606040
0001001,9607163
0001001,9607207
0001001,9608086
0001001,9609070
0001001,9609071
0001001,9609239
0001001,9611137
0001001,9612108
0001001,9701162
0001001,9702094
0001001,9702155
0001001,9702198
0001001,9703082
0001001,9703166
0001001,9704097
0001001,9705030
0001001,9705044
0001001,9705104
0001001,9705220
0001001,9706005
0001001,9707014
0001001,9707042
0001001,9707049
0001001,9710230
0001001,9711036
0001001,9711104
0001001,9712028
0001001,9712042
0001001,9802194
0001001,9805056
0001001,9805206
0001001,9806094
0001001,9810188
0001001,9811217
0001001,9905036
0001001,9907041
0001001,9908007
0001001,9908144
0001001,9909108
0001001,9909120
0001001,9909229
0001001,9910238
0001001,9910248
0001001,9910268
9510225,9201056
9510225,9206080
9510225,9301083
9510225,9307158
9510225,9308062
9510225,9407031
9510225,9407087
9510225,9410167
9510225,9503124
9510225,9504090
9510225,9505023
9510225,9505105
9510225,9506112
9510225,9506122
9510225,9507012
9510225,9507115
9510225,9507121
9510225,9508143
9510225,9509066
9510225,9510135
9510225,9510142
9510225,9510169
9510234,9202046
9510234,9204030
9510234,9205009
9510234,9301042
9510234,9301043
9510234,9302103
9510234,9307158
9510234,9308083
9510234,9309097
9510234,9309140
9510234,9311042
9510234,9404151
9510234,9406055
9510234,9408099
9510234,9409110
9510234,9410167
9510234,9501030
9510234,9502072
9510234,9503124
9510234,9504006
9510234,9504027
9510234,9504145
9510234,9505105
9510234,9505162
9510234,9506075
9510234,9506110
9510234,9506112
9510234,9507050
9510234,9507113
9510234,9507115
9510234,9507151
9510234,9507153
9510234,9508064
9510234,9508155
9510234,9509009
9510234,9510093
9510234,9510142
9605222,9301042
9605222,9308083
9605222,9308122
9605222,9309097
9605222,9309110
9605222,9403054
9605222,9406090
9605222,9409110
9605222,9412117
9605222,9412236
9605222,9501111
9605222,9502012
9605222,9503124
9605222,9503212
9605222,9504090
9605222,9504145
9605222,9507012
9605222,9507121
9605222,9510055
9605222,9510225
9605222,9511030
9605222,9601036
9605222,9605036
9607207,9407087
9607207,9408099
9607207,9411149
9607207,9508107
9607207,9512077
9607207,9602167
9607207,9603042
9607207,9605150
9607207,9605199
9607207,9606017
9607207,9607163
9609239,9301042
9609239,9305142
9609239,9308122
9609239,9407087
9609239,9408099
9609239,9410167
9609239,9412236
9609239,9503124
9609239,9504034
9609239,9504145
9609239,9505053
9609239,9505105
9609239,9505162
9609239,9506110
9609239,9506112
9609239,9507012
9609239,9507050
9609239,9507115
9609239,9507121
9609239,9507151
9609239,9507153
9609239,9508107
9609239,9508155
9609239,9509042
9609239,9509161
9609239,9510017
9609239,9510106
9609239,9510225
9609239,9510234
9609239,9511108
9609239,9511171
9609239,9511222
9609239,9601014
9609239,9601108
9609239,9602051
9609239,9602118
9609239,9603108
9609239,9605200
9609239,9606086
9609239,9608194
9609239,9609071
9705220,9409188
9705220,9501030
9705220,9503124
9705220,9504090
9705220,9504145
9705220,9506011
9705220,9509175
9705220,9510225
9705220,9511164
9705220,9601014
9705220,9601108
9705220,9603003
9705220,9603042
9705220,9604034
9705220,9605154
9705220,9605200
9705220,9606040
9705220,9606086
9705220,9607207
9705220,9608039
9705220,9608047
9705220,9608086
9705220,9609070
9705220,9609071
9705220,9609239
9705220,9610076
9705220,9610111
9705220,9610251
9705220,9611063
9705220,9611090
9705220,9611201
9705220,9611230
9705220,9612052
9705220,9612085
9705220,9612131
9705220,9701015
9705220,9701162
9705220,9702014
9705220,9702038
9705220,9702154
9705220,9702180
9705220,9702198
9705220,9703100
9705220,9703110
9705220,9703166
9705220,9703167
9705220,9703210
9705220,9704043
9705220,9704044
9705220,9704061
9705220,9704104
9705220,9704170
9705220,9705004
9705220,9705030
9705220,9705044
9705220,9705104
9710230,9201059
9710230,9504090
9710230,9507158
9710230,9510017
9710230,9511222
9710230,9512077
9710230,9605033
9710230,9609017
9710230,9610234
9710230,9710206
9805206,9503124
9805206,9511030
9805206,9512053
9805206,9602114
9805206,9603003
9805206,9603161
9805206,9603167
9805206,9605131
9805206,9605184
9805206,9611137
9805206,9612108
9805206,9701162
9805206,9702038
9805206,9705030
9805206,9705044
9805206,9705104
9805206,9801057
9805206,9802194
9805206,9805056
9805206,9805189
9811217,9309097
9811217,9402119
9811217,9407087
9811217,9408099
9811217,9412117
9811217,9505054
9811217,9507050
9811217,9508155
9811217,9511030
9811217,9601036
9811217,9601108
9811217,9602022
9811217,9602114
9811217,9603161
9811217,9603170
9811217,9604030
9811217,9604034
9811217,9604198
9811217,9605033
9811217,9605053
9811217,9605150
9811217,9605184
9811217,9605200
9811217,9605222
9811217,9606086
9811217,9606122
