NodeId,ToNodeId,Date
0001001,9304045,2000-01-01
0001001,9308122,2000-01-01
0001001,9309097,2000-01-01
0001001,9311042,2000-01-01
0001001,9401139,2000-01-01
0001001,9404151,2000-01-01
0001001,9407087,2000-01-01
0001001,9408099,2000-01-01
0001001,9501030,2000-01-01
0001001,9503124,2000-01-01
0001001,9504090,2000-01-01
0001001,9504145,2000-01-01
0001001,9505025,2000-01-01
0001001,9505054,2000-01-01
0001001,9505105,2000-01-01
0001001,9505162,2000-01-01
0001001,9506048,2000-01-01
0001001,9506112,2000-01-01
0001001,9506144,2000-01-01
0001001,9507050,2000-01-01
0001001,9507158,2000-01-01
0001001,9508094,2000-01-01
0001001,9508155,2000-01-01
0001001,9510142,2000-01-01
0001001,9510225,2000-01-01
0001001,9510234,2000-01-01
0001001,9511030,2000-01-01
0001001,9511171,2000-01-01
0001001,9601108,2000-01-01
0001001,9602022,2000-01-01
0001001,9602114,2000-01-01
0001001,9603003,2000-01-01
0001001,9603150,2000-01-01
0001001,9603161,2000-01-01
0001001,9603167,2000-01-01
0001001,9605184,2000-01-01
0001001,9605222,2000-01-01
0001001,9606017,2000-01-01
0001001,9606040,2000-01-01
0001001,9607163,2000-01-01
0001001,9607207,2000-01-01
0001001,9608086,2000-01-01
0001001,9609070,2000-01-01
0001001,9609071,2000-01-01
0001001,9609239,2000-01-01
0001001,9611137,2000-01-01
0001001,9612108,2000-01-01
0001001,9701162,2000-01-01
0001001,9702094,2000-01-01
0001001,9702155,2000-01-01
0001001,9702198,2000-01-01
0001001,9703082,2000-01-01
0001001,9703166,2000-01-01
0001001,9704097,2000-01-01
0001001,9705030,2000-01-01
0001001,9705044,2000-01-01
0001001,9705104,2000-01-01
0001001,9705220,2000-01-01
0001001,9706005,2000-01-01
0001001,9707014,2000-01-01
0001001,9707042,2000-01-01
0001001,9707049,2000-01-01
0001001,9710230,2000-01-01
0001001,9711036,2000-01-01
0001001,9711104,2000-01-01
0001001,9712028,2000-01-01
0001001,9712042,2000-01-01
0001001,9802194,2000-01-01
0001001,9805056,2000-01-01
0001001,9805206,2000-01-01
0001001,9806094,2000-01-01
0001001,9810188,2000-01-01
0001001,9811217,2000-01-01
0001001,9905036,2000-01-01
0001001,9907041,2000-01-01
0001001,9908007,2000-01-01
0001001,9908144,2000-01-01
0001001,9909108,2000-01-01
0001001,9909120,2000-01-01
0001001,9909229,2000-01-01
0001001,9910238,2000-01-01
0001001,9910248,2000-01-01
0001001,9910268,2000-01-01
9510225,9201056,1995-10-04
9510225,9206080,1995-10-04
9510225,9301083,1995-10-04
9510225,9307158,1995-10-04
9510225,9308062,1995-10-04
9510225,9407031,1995-10-04
9510225,9407087,1995-10-04
9510225,9410167,1995-10-04
9510225,9503124,1995-10-04
9510225,9504090,1995-10-04
9510225,9505023,1995-10-04
9510225,9505105,1995-10-04
9510225,9506112,1995-10-04
9510225,9506122,1995-10-04
9510225,9507012,1995-10-04
9510225,9507115,1995-10-04
9510225,9507121,1995-10-04
9510225,9508143,1995-10-04
9510225,9509066,1995-10-04
9510225,9510135,1995-10-04
9510225,9510142,1995-10-04
9510225,9510169,1995-10-04
9510234,9202046,1995-10-05
9510234,9204030,1995-10-05
9510234,9205009,1995-10-05
9510234,9301042,1995-10-05
9510234,9301043,1995-10-05
9510234,9302103,1995-10-05
9510234,9307158,1995-10-05
9510234,9308083,1995-10-05
9510234,9309097,1995-10-05
9510234,9309140,1995-10-05
9510234,9311042,1995-10-05
9510234,9404151,1995-10-05
9510234,9406055,1995-10-05
9510234,9408099,1995-10-05
9510234,9409110,1995-10-05
9510234,9410167,1995-10-05
9510234,9501030,1995-10-05
9510234,9502072,1995-10-05
9510234,9503124,1995-10-05
9510234,9504006,1995-10-05
9510234,9504027,1995-10-05
9510234,9504145,1995-10-05
9510234,9505105,1995-10-05
9510234,9505162,1995-10-05
9510234,9506075,1995-10-05
9510234,9506110,1995-10-05
9510234,9506112,1995-10-05
9510234,9507050,1995-10-05
9510234,9507113,1995-10-05
9510234,9507115,1995-10-05
9510234,9507151,1995-10-05
9510234,9507153,1995-10-05
9510234,9508064,1995-10-05
9510234,9508155,1995-10-05
9510234,9509009,1995-10-05
9510234,9510093,1995-10-05
9510234,9510142,1995-10-05
9605222,9301042,1996-05-03
9605222,9308083,1996-05-03
9605222,9308122,1996-05-03
9605222,9309097,1996-05-03
9605222,9309110,1996-05-03
9605222,9403054,1996-05-03
9605222,9406090,1996-05-03
9605222,9409110,1996-05-03
9605222,9412117,1996-05-03
9605222,9412236,1996-05-03
9605222,9501111,1996-05-03
9605222,9502012,1996-05-03
