FromNodeId,ToNodeId
9503222,9310202
9312207,9312202
9910201,9312206
9712226,9312206
9807210,9312206
9511217,9312206
9412228,9312206
9511209,9312207
9503229,9312208
9410209,9312209
9510224,9312210
9805212,9312210
9503217,9406203
9810208,9406203
9811232,9406206
9510213,9406206
9410237,9406206
9911203,9406206
9705233,9406206
9605212,9406206
9811256,9406206
9911244,9406206
9607203,9406206
9812207,9406206
9903268,9406206
9503226,9406206
9609210,9406207
9908203,9406207
9705202,9406207
9411232,9406207
9810222,9406208
9906243,9406208
9909209,9406208
9605214,9406208
9511214,9406209
9704201,9406210
9612244,9406213
9612245,9406214
9806233,9406216
9706221,9406216
9706201,9406216
9611204,9406216
9806230,9406216
9612224,9406216
9610238,9406216
9811232,9406217
9907224,9406217
9904213,9406217
9912292,9406217
9912222,9406217
9710236,9406217
9811244,9406217
9711203,9406217
9503217,9410203
9612207,9410203
9506207,9410205
9709222,9410205
9707249,9410206
9807240,9410206
9510223,9410206
9605221,9410206
9510241,9410206
9811211,9410209
9703206,9410212
9412209,9410212
9512206,9410215
9910242,9410219
9703219,9410223
9503237,9410230
9811249,9410235
9605212,9410237
9812207,9410237
9510213,9410237
9907202,9410237
9805211,9410237
9706210,9410237
9810240,9410237
9709229,9410238
9607220,9410241
9906219,9411203
9506215,9411203
9412236,9411210
9910264,9411210
9803205,9411210
9910209,9411210
9612209,9411210
9610218,9411210
9712241,9411210
9812202,9411214
9412209,9411218
9503232,9411223
9611224,9411224
9607232,9411230
9806206,9411231
9906242,9411234
9811228,9411234
9512226,9411234
9910207,9411234
9811232,9411235
9510208,9412203
9503203,9412203
9712202,9412203
9510210,9412203
9811225,9412204
9811225,9412205
9910226,9412207
9703206,9412209
9910207,9412209
9912216,9412210
9712222,9412213
9611224,9412218
9803208,9412218
9512207,9412224
9912247,9412228
9811231,9412228
9607215,9412228
9912234,9412228
9807210,9412228
9605213,9412228
9810212,9412228
9705203,9412228
9712226,9412228
9912252,9412229
9909216,9412229
9503227,9412229
9910226,9412229
9906219,9412229
9910215,9412229
9506215,9412229
9506213,9412235
9511206,9412236
9911220,9412236
9512204,9412236
9503212,9412236
9810201,9412236
9908204,9412236
9904218,9412236
9810244,9412236
9503208,9412236
9605222,9412236
9609239,9412236
9703222,9412237
9811225,9412239
9503232,9412242
9709203,9503201
9610231,9503202
9712202,9503203
9810212,9503204
9903219,9503205
9812252,9503205
9802201,9503205
9705209,9503205
9705208,9503205
9903224,9503205
9503228,9503205
9911205,9503207
9912218,9503207
9912257,9503207
9711201,9503207
9912239,9503207
9811237,9503207
9607229,9503207
9810214,9503207
9712257,9503207
9906242,9503208
9512210,9503209
9705240,9503209
9607243,9503209
9607234,9503211
9712223,9503212
9912244,9503212
9709209,9503212
9909229,9503212
9511228,9503212
9510241,9503212
9605222,9503212
9707212,9503212
9705210,9503212
9811223,9503214
9811252,9503214
9710227,9503220
9804205,9503220
9806219,9503220
9912251,9503224
9704202,9503225
9605212,9503226
9706210,9503226
9806222,9503227
9909216,9503227
9612218,9503232
9905229,9503236
9705226,9506207
9909223,9510201
9809208,9510201
9712204,9510201
9809210,9510201
9910250,9510204
9607223,9510204
9912271,9510204
9905224,9510204
9909224,9510204
9612238,9510204
9906240,9510204
9510224,9510204
9903252,9510204
9607234,9510204
9704205,9510204
9902205,9510204
9610242,9510204
9809206,9510206
9710246,9510207
9611207,9510208
9607218,9510208
9607201,9510209
9910202,9510209
9811234,9510209
9511213,9510209
9609209,9510209
9903210,9510209
9801204,9510209
9906234,9510209
9710247,9510209
9710215,9510209
9609204,9510209
9512203,9510209
9803231,9510209
9903225,9510209
9712214,9510209
9707224,9510209
9707208,9510209
9912208,9510209
9609211,9510209
9804208,9510209
9710223,9510209
9512219,9510209
9710208,9510209
9611203,9510209
9911217,9510209
9707246,9510209
9512226,9510209
9710231,9510209
9907215,9510209
9907210,9510209
9610237,9510209
9809204,9510209
9711201,9510209
9611204,9510209
9812224,9510209
9911205,9510209
9910269,9510209
9710207,9510209
9709214,9510209
9909212,9510209
9903268,9510209
9906206,9510209
9810201,9510209
9905210,9510209
9803209,9510209
9912206,9510209
9709209,9510209
9706211,9510209
9910210,9510209
9610234,9510209
9709222,9510209
9605201,9510209
9911252,9510209
